AVG Current,STD Current,MAX Current,MIN Current,Range Current,Kurtosis Current,RMS Current,Skewness Current,Entropy Current,AVG Torque,STD Torque,MAX Torque,MIN Torque,Range Torque,Kurtosis Torque,RMS Torque,Skewness Torque,Entropy Torque,AVG Active Power,STD Active Power,MAX Active Power,MIN Active Power,Range Active Power,Kurtosis Active Power,RMS Active Power,Skewness Active Power,Entropy Active Power,Class
0.491026,0.164587,3.333313,0.451416,2.881897,163.342548,0.517849,12.012702,6.878277,0.174530,0.255058,3.887024,0.123230,3.763794,146.199874,0.308950,11.551303,6.621976,0.447006,0.162995,3.737488,0.321777,3.415711,255.137606,0.475768,14.511014,6.875016,0
0.486258,0.118375,2.831360,0.340576,2.490784,189.367485,0.500445,12.417725,6.890295,0.169441,0.206860,3.895813,0.087036,3.808777,196.702109,0.267317,12.835625,6.691126,0.451082,0.193119,3.584290,0.334778,3.249512,159.436106,0.490645,11.886859,6.863274,0
0.485084,0.135169,3.814575,0.333069,3.481506,385.679915,0.503547,17.544787,6.888143,0.167365,0.228133,3.895508,0.062988,3.832520,185.685086,0.282849,13.216204,6.674989,0.451436,0.204382,3.831970,0.333313,3.498657,200.900820,0.495505,13.327506,6.861137,0
0.488116,0.130323,2.973999,0.332520,2.641479,167.157098,0.505197,11.652744,6.886948,0.160562,0.130644,2.589172,0.123047,2.466125,173.674229,0.206956,12.367314,6.791557,0.442513,0.122798,3.332336,0.338745,2.993591,325.931372,0.459219,15.676399,6.886749,0
0.489003,0.155107,3.419250,0.333679,3.085571,188.345697,0.512990,12.692090,6.881138,0.171670,0.250602,3.834534,0.057922,3.776612,155.723839,0.303660,12.126315,6.636897,0.452492,0.207713,3.895508,0.331360,3.564148,191.141171,0.497846,12.897563,6.859207,0
0.497391,0.221836,3.951965,0.329956,3.622009,153.495248,0.544572,11.799572,6.860936,0.162556,0.179223,3.833313,0.086731,3.746582,252.247095,0.241895,14.979945,6.743751,0.446246,0.154565,3.830139,0.252319,3.577820,273.556158,0.472231,14.632840,6.877206,0
0.491620,0.174454,3.833679,0.330200,3.503479,198.967541,0.521627,12.956826,6.875942,0.160317,0.150194,3.706909,0.078430,3.628479,337.603884,0.219630,16.576875,6.778432,0.448245,0.145883,3.352295,0.299622,3.052673,184.285730,0.471364,11.720319,6.877881,0
0.490473,0.173582,3.340149,0.333191,3.006958,187.582291,0.520254,13.107259,6.876836,0.163537,0.157591,2.692749,0.082153,2.610596,137.117797,0.227056,11.208548,6.752358,0.440039,0.089960,1.479797,0.089905,1.389892,82.585808,0.449131,8.156755,6.892729,0
0.481970,0.091310,1.885132,0.165344,1.719788,129.063216,0.490535,10.849726,6.895924,0.162896,0.163254,3.580383,0.086182,3.494201,234.548275,0.230565,14.005937,6.755785,0.449375,0.138180,2.411133,0.371765,2.039368,94.742175,0.470120,8.934078,6.878812,0
0.490514,0.174685,3.583313,0.328430,3.254883,194.545761,0.520662,13.180572,6.876361,0.168284,0.222353,3.921143,0.051941,3.869202,188.306480,0.278767,13.125899,6.679636,0.450577,0.172135,3.739319,0.338257,3.401062,188.500727,0.482307,12.345493,6.870296,0
0.491055,0.173077,3.971008,0.329102,3.641906,234.771929,0.520635,13.925351,6.876772,0.168482,0.231897,3.890198,0.081482,3.808716,179.537347,0.286546,12.985494,6.668132,0.447416,0.156861,3.831116,0.309814,3.521302,253.784240,0.474091,14.005244,6.876123,0
